dataset,image_id,ref_id,distorted_path,ref_path,distortion_type,distortion_code,severity_or_level,mos_or_dmos,split,distorted_path_original
KADID-10k,I01_01_01,I01,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Gaussian blur,NA,1,4.57,train,/data/projectwork/swati_mam/kadid10k/images/I01_01_01.png
KADID-10k,I01_01_02,I01,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Gaussian blur,NA,2,4.33,train,/data/projectwork/swati_mam/kadid10k/images/I01_01_02.png
KADID-10k,I01_01_03,I01,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Gaussian blur,NA,3,2.67,train,/data/projectwork/swati_mam/kadid10k/images/I01_01_03.png
KADID-10k,I01_01_04,I01,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Gaussian blur,NA,4,1.67,train,/data/projectwork/swati_mam/kadid10k/images/I01_01_04.png
KADID-10k,I01_01_05,I01,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_01_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Gaussian blur,NA,5,1.1,train,/data/projectwork/swati_mam/kadid10k/images/I01_01_05.png
KADID-10k,I01_02_01,I01,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_02_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Lens blur,NA,1,3.83,train,/data/projectwork/swati_mam/kadid10k/images/I01_02_01.png
KADID-10k,I01_02_02,I01,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_02_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Lens blur,NA,2,2.27,train,/data/projectwork/swati_mam/kadid10k/images/I01_02_02.png
KADID-10k,I01_02_03,I01,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_02_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Lens blur,NA,3,1.53,train,/data/projectwork/swati_mam/kadid10k/images/I01_02_03.png
KADID-10k,I01_02_04,I01,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_02_04.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Lens blur,NA,4,1.23,train,/data/projectwork/swati_mam/kadid10k/images/I01_02_04.png
KADID-10k,I01_02_05,I01,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_02_05.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Lens blur,NA,5,1.2,train,/data/projectwork/swati_mam/kadid10k/images/I01_02_05.png
KADID-10k,I01_03_01,I01,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_03_01.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Motion blur,NA,1,4.73,train,/data/projectwork/swati_mam/kadid10k/images/I01_03_01.png
KADID-10k,I01_03_02,I01,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_03_02.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Motion blur,NA,2,3.97,train,/data/projectwork/swati_mam/kadid10k/images/I01_03_02.png
KADID-10k,I01_03_03,I01,/data/projectwork/swati_mam/new model data/kadid10k/images/I01_03_03.png,/data/projectwork/swati_mam/kadid10k/images/I01.png,Motion blur,NA,3,2.7,train,/data/projectwork/swati_mam/kadid10k/images/I01_03_03.png
